--- Location Result ---
Origin Time: 2026-03-11T09:05:51.353142Z
Latitude: 37.4809
Longitude: 129.7177
Depth: 0.00 km
Magnitude: ML 3.16 (390 channels)
Used Stations: 34

=== Used Stations for Location ===
KS.YAYB.E    |    107.0 | 8.2116e-01 |  2.94
KS.YODB.Z    |    108.7 | 8.5914e-01 |  2.97
KS.YODB.N    |    108.7 | 7.5704e-01 |  2.91
KS.YODB.E    |    108.7 | 7.8629e-01 |  2.93
KS.YEYB.Z    |    110.3 | 9.6346e-01 |  3.02
KS.YEYB.N    |    110.3 | 3.3708e+00 |  3.57
KS.YEYB.E    |    110.3 | 3.8436e+00 |  3.63
KS.YOW2.Z    |    116.6 | 2.1489e+00 |  3.39
KS.YOW2.N    |    116.6 | 3.9588e+00 |  3.66
KS.YOW2.E    |    116.6 | 3.2819e+00 |  3.58
KS.YEAB.Z    |    117.2 | 1.6584e+00 |  3.28
KS.YEAB.N    |    117.2 | 2.6421e+00 |  3.49
KS.YEAB.E    |    117.2 | 2.0825e+00 |  3.39
KS.PYCB.Z    |    117.7 | 1.2294e+00 |  3.16
KS.PYCB.N    |    117.7 | 1.8803e+00 |  3.35
KS.PYCB.E    |    117.7 | 1.1837e+00 |  3.14
KS.NAMB.Z    |    121.9 | 4.7780e+00 |  3.76
KS.NAMB.N    |    121.9 | 1.8895e+00 |  3.36
KS.NAMB.E    |    121.9 | 2.9140e+00 |  3.55
KS.YOJB.Z    |    126.3 | 1.5915e+00 |  3.30
KS.YOJB.N    |    126.3 | 8.8674e+00 |  4.05
KS.YOJB.E    |    126.3 | 6.4486e+00 |  3.91
KS.OADB.Z    |    132.2 | 1.8291e+00 |  3.38
KS.OADB.N    |    132.2 | 1.4041e+00 |  3.27
KS.OADB.E    |    132.2 | 1.3134e+00 |  3.24
KS.SKC2.Z    |    138.3 | 3.6235e-01 |  2.70
KS.SKC2.N    |    138.3 | 6.2492e-01 |  2.94
KS.SKC2.E    |    138.3 | 5.7782e-01 |  2.91
KS.JECB.Z    |    139.6 | 1.2407e+00 |  3.24
KS.JECB.N    |    139.6 | 9.6628e-01 |  3.14
KS.JECB.E    |    139.6 | 1.1579e+00 |  3.22
KS.OPHB.Z    |    147.1 | 6.5185e-01 |  2.98
KS.OPHB.N    |    147.1 | 1.1330e+00 |  3.23
KS.OPHB.E    |    147.1 | 1.2446e+00 |  3.27
KS.JWJB.Z    |    147.7 | 7.2465e-03 |  1.03
KS.JWJB.N    |    147.7 | 1.2411e-02 |  1.27
KS.JWJB.E    |    147.7 | 4.1711e-03 |  0.80
KS.YCHB.Z    |    148.5 | 9.7762e-01 |  3.16
KS.YCHB.N    |    148.5 | 1.0700e+00 |  3.21
KS.YCHB.E    |    148.5 | 8.5887e-01 |  3.12
KS.EUSB.Z    |    154.9 | 6.4459e-01 |  3.00
KS.EUSB.N    |    154.9 | 5.8921e-01 |  2.97
KS.EUSB.E    |    154.9 | 5.6388e-01 |  2.95
KS.GEJB.Z    |    156.5 | 1.6707e-01 |  2.42
KS.GEJB.N    |    156.5 | 2.1892e-01 |  2.55
KS.GEJB.E    |    156.5 | 1.6943e-01 |  2.44
KS.IJS4.Z    |    162.9 | 4.9922e-01 |  2.91
KS.IJS4.N    |    162.9 | 2.7079e-01 |  2.66
KS.IJS4.E    |    162.9 | 2.6567e-01 |  2.65
KS.CHJ3.Z    |    168.8 | 1.1116e+00 |  3.28
KS.CHJ3.N    |    168.8 | 1.5422e+00 |  3.44
KS.CHJ3.E    |    168.8 | 1.2214e+00 |  3.34
KS.CHCB.Z    |    171.2 | 9.2954e-01 |  3.21
KS.CHCB.N    |    171.2 | 9.9105e-01 |  3.25
KS.CHCB.E    |    171.2 | 1.3298e+00 |  3.38
KS.KOSB.Z    |    172.4 | 1.0470e-01 |  2.26
KS.KOSB.N    |    172.4 | 1.1795e-01 |  2.33
KS.KOSB.E    |    172.4 | 8.6346e-02 |  2.20
KS.MGY2.Z    |    173.5 | 1.9920e-02 |  1.55
KS.MGY2.N    |    173.5 | 2.2453e-02 |  1.62
KS.MGY2.E    |    173.5 | 2.4782e-02 |  1.66
KS.GUWB.Z    |    175.6 | 4.5074e-01 |  2.91
KS.GUWB.N    |    175.6 | 5.4309e-01 |  3.01
KS.GUWB.E    |    175.6 | 3.5438e-01 |  2.82
KS.BURB.Z    |    176.6 | 1.3219e+00 |  3.38
KS.BURB.N    |    176.6 | 1.6693e+00 |  3.50
KS.BURB.E    |    176.6 | 9.3521e-01 |  3.24
KS.CGUB.Z    |    177.4 | 5.1382e-01 |  2.97
KS.CGUB.N    |    177.4 | 7.9830e-01 |  3.18
KS.CGUB.E    |    177.4 | 4.7166e-01 |  2.95
KS.YOCB.Z    |    180.4 | 5.4589e-01 |  3.00
KS.YOCB.N    |    180.4 | 3.3638e-01 |  2.81
KS.YOCB.E    |    180.4 | 4.7733e-01 |  2.96
KS.SAJB.Z    |    183.0 | 6.6371e-01 |  3.10
KS.SAJB.N    |    183.0 | 6.2030e-01 |  3.09
KS.SAJB.E    |    183.0 | 7.8341e-01 |  3.19
KS.KESB.Z    |    196.4 | 9.3146e-01 |  3.28
KS.KESB.N    |    196.4 | 4.4785e-01 |  2.99
KS.KESB.E    |    196.4 | 7.1818e-01 |  3.19
KS.JHCB.Z    |    197.1 | 4.6959e-01 |  2.99
KS.JHCB.N    |    197.1 | 4.4924e-01 |  2.99
KS.JHCB.E    |    197.1 | 2.5758e-01 |  2.75
KS.CIGB.Z    |    199.5 | 9.9177e-02 |  2.32
KS.CIGB.N    |    199.5 | 1.4817e-01 |  2.51
KS.CIGB.E    |    199.5 | 1.2995e-01 |  2.46
KS.BON2.Z    |    199.7 | 1.0173e+00 |  3.33
KS.BON2.N    |    199.7 | 7.4700e-01 |  3.22
KS.BON2.E    |    199.7 | 7.9664e-01 |  3.25
KS.GAPB.Z    |    200.2 | 2.4353e-01 |  2.71
KS.GAPB.N    |    200.2 | 5.1202e-01 |  3.05
KS.GAPB.E    |    200.2 | 4.6694e-01 |  3.01
KS.OGSB.Z    |    203.7 | 1.4522e+00 |  3.50
KS.OGSB.N    |    203.7 | 8.5222e-01 |  3.29
KS.OGSB.E    |    203.7 | 8.7793e-01 |  3.30
KS.USN2.Z    |    204.4 | 8.9408e-01 |  3.29
KS.USN2.N    |    204.4 | 7.2911e-01 |  3.22
KS.USN2.E    |    204.4 | 1.3152e+00 |  3.48
KS.CWO2.Z    |    204.8 | 9.7580e-01 |  3.33
KS.CWO2.N    |    204.8 | 7.5095e-01 |  3.23
KS.CWO2.E    |    204.8 | 8.5301e-01 |  3.29
KS.ICN2.Z    |    204.9 | 7.6753e-01 |  3.22
KS.ICN2.N    |    204.9 | 8.9044e-01 |  3.31
KS.ICN2.E    |    204.9 | 5.9204e-01 |  3.13
KS.JEJB.Z    |    206.0 | 2.6930e-01 |  2.77
KS.JEJB.N    |    206.0 | 4.1874e-01 |  2.98
KS.JEJB.E    |    206.0 | 3.1961e-01 |  2.87
KS.CPR2.Z    |    209.3 | 8.5208e-01 |  3.28
KS.CPR2.N    |    209.3 | 5.1724e-01 |  3.09
KS.CPR2.E    |    209.3 | 6.2136e-01 |  3.17
KS.HWDB.Z    |    210.7 | 4.6400e-01 |  3.02
KS.HWDB.N    |    210.7 | 4.6021e-01 |  3.04
KS.HWDB.E    |    210.7 | 3.9812e-01 |  2.98
KS.OKCB.Z    |    212.7 | 5.6621e-01 |  3.11
KS.OKCB.N    |    212.7 | 5.0595e-01 |  3.09
KS.OKCB.E    |    212.7 | 6.0294e-01 |  3.16
KS.GMHB.Z    |    219.4 | 3.5910e-01 |  2.93
KS.GMHB.N    |    219.4 | 3.4585e-01 |  2.94
KS.GMHB.E    |    219.4 | 3.9571e-01 |  3.00
KS.IYIB.Z    |    221.4 | 5.5559e-01 |  3.13
KS.IYIB.N    |    221.4 | 6.7083e-01 |  3.23
KS.IYIB.E    |    221.4 | 4.2029e-01 |  3.03
KS.NCS4.Z    |    222.9 | 1.0668e-02 |  1.41
KS.NCS4.N    |    222.9 | 7.9795e-03 |  1.31
KS.NCS4.E    |    222.9 | 5.2781e-03 |  1.13
KS.CEA2.Z    |    230.4 | 6.2261e-01 |  3.20
KS.CEA2.N    |    230.4 | 6.3888e-01 |  3.24
KS.CEA2.E    |    230.4 | 4.9141e-01 |  3.12
KS.YALB.Z    |    237.6 | 3.2492e-01 |  2.94
KS.YALB.N    |    237.6 | 3.6116e-01 |  3.01
KS.YALB.E    |    237.6 | 2.6978e-01 |  2.88
KS.HSJB.Z    |    239.4 | 4.9973e-01 |  3.13
KS.HSJB.N    |    239.4 | 4.4019e-01 |  3.10
KS.HSJB.E    |    239.4 | 3.4305e-01 |  2.99
KS.CHRB.Z    |    242.9 | 2.7892e-01 |  2.89
KS.CHRB.N    |    242.9 | 3.5633e-01 |  3.02
KS.CHRB.E    |    242.9 | 2.1423e-01 |  2.80
KS.SWO2.Z    |    243.3 | 7.0617e-01 |  3.29
KS.SWO2.N    |    243.3 | 1.4225e+00 |  3.62
KS.SWO2.E    |    243.3 | 8.7485e-01 |  3.41
KS.DUSB.Z    |    247.4 | 1.3446e-02 |  1.58
KS.DUSB.N    |    247.4 | 1.0850e-02 |  1.51
KS.DUSB.E    |    247.4 | 1.4436e-02 |  1.64
KS.SEO3.Z    |    247.7 | 5.5012e-01 |  3.19
KS.SEO3.N    |    247.7 | 1.1148e+00 |  3.53
KS.SEO3.E    |    247.7 | 3.7593e-01 |  3.05
KS.YCS4.Z    |    250.7 | 7.0915e-01 |  3.31
KS.YCS4.N    |    250.7 | 3.5401e-01 |  3.04
KS.YCS4.E    |    250.7 | 3.8100e-01 |  3.07
KS.KMSB.Z    |    251.2 | 4.5148e-01 |  3.12
KS.KMSB.N    |    251.2 | 3.9467e-01 |  3.09
KS.KMSB.E    |    251.2 | 3.9170e-01 |  3.08
KS.BUS3.Z    |    253.6 | 1.9060e-01 |  2.75
KS.BUS3.N    |    253.6 | 2.2476e-01 |  2.85
KS.BUS3.E    |    253.6 | 2.9200e-01 |  2.96
KS.YC2B.Z    |    253.7 | 6.5577e-01 |  3.28
KS.YC2B.N    |    253.7 | 2.3710e-01 |  2.87
KS.YC2B.E    |    253.7 | 8.9415e-01 |  3.45
KS.PYS6.Z    |    259.4 | 7.6590e-01 |  3.37
KS.PYS6.N    |    259.4 | 7.4666e-01 |  3.38
KS.PYS6.E    |    259.4 | 7.7723e-01 |  3.40
KS.KCH2.Z    |    262.4 | 5.4275e-01 |  3.22
KS.KCH2.N    |    262.4 | 8.9521e-01 |  3.47
KS.KCH2.E    |    262.4 | 1.0407e+00 |  3.54
KS.MUS2.Z    |    264.2 | 9.5870e-01 |  3.48
KS.MUS2.N    |    264.2 | 1.2967e+00 |  3.64
KS.MUS2.E    |    264.2 | 1.0203e+00 |  3.53
KS.HAWB.Z    |    264.7 | 6.2932e-01 |  3.29
KS.HAWB.N    |    264.7 | 5.4627e-01 |  3.26
KS.HAWB.E    |    264.7 | 3.8218e-01 |  3.11
KS.ISHB.Z    |    267.2 | 6.7425e-01 |  3.33
KS.ISHB.N    |    267.2 | 6.2949e-01 |  3.33
KS.ISHB.E    |    267.2 | 6.3964e-01 |  3.34
KS.GMPB.Z    |    269.4 | 5.8430e-01 |  3.27
KS.GMPB.N    |    269.4 | 5.2576e-01 |  3.26
KS.GMPB.E    |    269.4 | 3.1579e-01 |  3.04
KS.YSAB.Z    |    270.6 | 9.3943e-01 |  3.48
KS.YSAB.N    |    270.6 | 2.4573e+00 |  3.93
KS.YSAB.E    |    270.6 | 2.4560e+00 |  3.93
KS.EURB.Z    |    271.7 | 2.0340e-01 |  2.82
KS.EURB.N    |    271.7 | 2.3542e-01 |  2.92
KS.EURB.E    |    271.7 | 3.5096e-01 |  3.09
KS.WAJB.Z    |    276.1 | 5.0138e-01 |  3.22
KS.WAJB.N    |    276.1 | 3.2147e-01 |  3.06
KS.WAJB.E    |    276.1 | 4.2723e-01 |  3.19
KS.CGWB.Z    |    276.2 | 2.4999e-01 |  2.92
KS.CGWB.N    |    276.2 | 2.5837e-01 |  2.97
KS.CGWB.E    |    276.2 | 1.7946e-01 |  2.81
KS.HAMB.Z    |    281.0 | 2.5695e-01 |  2.95
KS.HAMB.N    |    281.0 | 2.3345e-01 |  2.94
KS.HAMB.E    |    281.0 | 2.3735e-01 |  2.94
KS.BUYB.Z    |    283.1 | 3.6775e-01 |  3.11
KS.BUYB.N    |    283.1 | 3.5829e-01 |  3.13
KS.BUYB.E    |    283.1 | 2.7236e-01 |  3.01
KS.GDDB.Z    |    287.3 | 1.9869e-01 |  2.85
KS.GDDB.N    |    287.3 | 2.2146e-01 |  2.93
KS.GDDB.E    |    287.3 | 2.0168e-01 |  2.89
KS.GH2B.Z    |    290.0 | 5.5915e-01 |  3.31
KS.GH2B.N    |    290.0 | 6.8817e-01 |  3.43
KS.GH2B.E    |    290.0 | 4.7453e-01 |  3.27
KS.SESB.Z    |    296.9 | 2.4422e-01 |  2.96
KS.SESB.N    |    296.9 | 4.0135e-01 |  3.21
KS.SESB.E    |    296.9 | 1.8979e-01 |  2.89
KS.IKSB.Z    |    299.1 | 5.9601e-01 |  3.36
KS.IKSB.N    |    299.1 | 1.5484e+00 |  3.80
KS.IKSB.E    |    299.1 | 1.4100e+00 |  3.76
KS.IMSB.Z    |    300.7 | 2.8549e-01 |  3.04
KS.IMSB.N    |    300.7 | 3.1855e-01 |  3.12
KS.IMSB.E    |    300.7 | 2.4912e-01 |  3.01
KS.NAWB.Z    |    309.1 | 2.2685e-01 |  2.96
KS.NAWB.N    |    309.1 | 2.3614e-01 |  3.01
KS.NAWB.E    |    309.1 | 2.4787e-01 |  3.03
KS.GDS5.Z    |    309.7 | 3.5636e-01 |  3.16
KS.GDS5.N    |    309.7 | 7.5422e-01 |  3.52
KS.GDS5.E    |    309.7 | 4.8284e-01 |  3.32
KS.PTYC.Z    |    313.7 | 6.1881e-01 |  3.41
KS.PTYC.N    |    313.7 | 1.4518e+00 |  3.81
KS.PTYC.E    |    313.7 | 1.1646e+00 |  3.72
KS.CJDB.Z    |    319.3 | 3.7657e-01 |  3.21
KS.CJDB.N    |    319.3 | 6.6975e-01 |  3.49
KS.CJDB.E    |    319.3 | 3.2443e-01 |  3.18
KS.DEI2.Z    |    321.0 | 2.4928e-01 |  3.03
KS.DEI2.N    |    321.0 | 6.3776e-01 |  3.47
KS.DEI2.E    |    321.0 | 4.7518e-01 |  3.35
KS.BAU.Z     |    325.5 | 2.2770e-01 |  3.00
KS.BAU.N     |    325.5 | 2.8809e-01 |  3.14
KS.BAU.E     |    325.5 | 3.0527e-01 |  3.16
KS.MMD.Z     |    330.6 | 2.9169e-01 |  3.12
KS.MMD.N     |    330.6 | 3.0818e-01 |  3.18
KS.MMD.E     |    330.6 | 3.8738e-01 |  3.28
KS.TANB.Z    |    330.9 | 2.1703e-01 |  2.99
KS.TANB.N    |    330.9 | 4.3635e-01 |  3.33
KS.TANB.E    |    330.9 | 1.2687e-01 |  2.80
KS.JEU2.Z    |    333.2 | 2.6716e-01 |  3.09
KS.JEU2.N    |    333.2 | 3.5378e-01 |  3.25
